Table key:,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,
               recombination event or off the edges of the analysed sequence fragments).,,,,,,,,,,,,,,,,,,,
$            = This might not be breakpoint - it is likey the edge of a genome segment (possibly exchanged during reassortment),,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using the particular method in question.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Breakpoint Positions,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to CA_Manitoba|MH370819.1|1979,,, , , , , , Detection Methods,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
1,1,12306,5348,12260,5322,12263,5321,CT|Yale-JC0343|2009,CT|Yale-JC0429|2011,CT|Yale-JC0373|2010,2.38E-252,7.88E-215,3.79E-239,9.20E-66,5.61E-66,2.19E-72,NS,NS,5.67E-294
1,,,,,,,,,CT|Yale-JC0444|2012,CT|Yale-JC0006|1997,,,,,,,,,
1,,,,,,,,,,CT|Yale-JC0136|2003,,,,,,,,,
1,,,,,,,,,,CT|Yale-JC0415|2011,,,,,,,,,
1,,,,,,,,,,CT|Yale-JC0593|2018,,,,,,,,,
1,,,,,,,,,,CT|Yale-JC0649|2021,,,,,,,,,
1,,,,,,,,,,CT|Yale-JC0144|2004,,,,,,,,,
